city,state,county,latitude,longitude,date,pm2_5,pm10,ozone,nitrogen_dioxide,sulphur_dioxide,carbon_monoxide,us_aqi_max,us_aqi_mean,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,asthma_prev,copd_prev,county_population,health_data_year,month,season,aqi_category,aqi_class3,pm25_tier
New York,NY,New York,40.7143,-74.006,2025-09-15,17.662499999999998,18.4375,66.91666666666667,43.5125,7.120833333333334,338.8333333333333,84,74.91666666666667,28.6,17.9,22.3,0.0,12.1,9.6,4.4,1597451,2025,9,Fall,Moderate,Moderate,Moderate
New York,NY,New York,40.7143,-74.006,2025-09-16,6.341666666666666,6.958333333333333,72.625,19.445833333333333,4.620833333333334,243.33333333333331,66,50.41666666666666,24.5,17.5,20.4,0.0,17.0,9.6,4.4,1597451,2025,9,Fall,Moderate,Moderate,Low
New York,NY,New York,40.7143,-74.006,2025-09-17,6.391666666666667,7.341666666666666,61.04166666666666,18.870833333333334,4.095833333333333,222.83333333333331,39,30.95833333333333,21.1,17.2,19.2,6.8,14.4,9.6,4.4,1597451,2025,9,Fall,Good,Good,Low
New York,NY,New York,40.7143,-74.006,2025-09-18,10.854166666666666,11.658333333333331,64.375,31.77916666666667,6.345833333333334,321.0833333333333,55,46.875,27.4,18.2,22.2,0.1,7.7,9.6,4.4,1597451,2025,9,Fall,Moderate,Moderate,Low
New York,NY,New York,40.7143,-74.006,2025-09-19,8.495833333333334,8.637500000000001,67.875,23.325,4.583333333333333,292.7083333333333,54,53.375,28.1,18.1,22.6,0.0,11.1,9.6,4.4,1597451,2025,9,Fall,Moderate,Moderate,Low
New York,NY,New York,40.7143,-74.006,2025-09-20,4.3500000000000005,4.7250000000000005,63.083333333333336,17.575,4.595833333333333,218.08333333333331,47,35.75,23.8,14.5,18.9,0.0,12.3,9.6,4.4,1597451,2025,9,Fall,Good,Good,Low
New York,NY,New York,40.7143,-74.006,2025-09-21,7.3875,8.879166666666666,53.25,22.141666666666666,4.525,222.0,41,36.333333333333336,22.1,13.8,17.3,0.0,11.2,9.6,4.4,1597451,2025,9,Fall,Good,Good,Low
New York,NY,New York,40.7143,-74.006,2025-09-22,14.541666666666666,16.329166666666666,41.958333333333336,39.15,8.166666666666666,261.5416666666667,60,52.16666666666666,22.7,12.0,17.4,0.0,11.2,9.6,4.4,1597451,2025,9,Fall,Moderate,Moderate,Moderate
New York,NY,New York,40.7143,-74.006,2025-09-23,13.466666666666669,14.458333333333334,73.29166666666667,27.52083333333333,7.670833333333333,223.29166666666663,65,57.708333333333336,29.5,16.7,22.6,6.6,14.9,9.6,4.4,1597451,2025,9,Fall,Moderate,Moderate,Moderate
New York,NY,New York,40.7143,-74.006,2025-09-24,22.33333333333333,22.666666666666668,46.583333333333336,48.86666666666667,11.154166666666669,321.9583333333333,78,70.45833333333333,26.6,18.4,21.9,3.0,16.9,9.6,4.4,1597451,2025,9,Fall,Moderate,Moderate,Moderate
