state,county,county_fips,county_population,asthma_prev,copd_prev,health_data_year
AL,Autauga,01001,60342,10.0,7.4,2025
AL,Baldwin,01003,253507,9.3,7.5,2025
AL,Barbour,01005,24585,10.8,11.1,2025
AL,Bibb,01007,21868,10.4,10.2,2025
AL,Blount,01009,59816,9.9,9.1,2025
AL,Bullock,01011,9897,11.5,13.0,2025
AL,Butler,01013,18382,10.9,10.3,2025
AL,Calhoun,01015,116429,10.6,8.9,2025
AL,Chambers,01017,34079,10.7,9.9,2025
AL,Cherokee,01019,25666,10.2,10.7,2025
AL,Chilton,01021,46431,10.0,8.8,2025
AL,Choctaw,01023,12252,10.9,11.1,2025
AL,Clarke,01025,22337,10.8,9.7,2025
AL,Clay,01027,14111,10.4,10.6,2025
AL,Cleburne,01029,15639,10.0,9.8,2025
AL,Coffee,01031,55643,10.2,8.6,2025
AL,Colbert,01033,58361,10.3,8.9,2025
AL,Conecuh,01035,11174,11.0,12.6,2025
AL,Coosa,01037,10268,10.3,10.6,2025
AL,Covington,01039,37952,10.2,10.4,2025
AL,Crenshaw,01041,13101,10.5,9.9,2025
AL,Cullman,01043,92016,9.8,9.0,2025
AL,Dale,01045,49871,10.3,9.2,2025
AL,Dallas,01047,36165,11.6,11.2,2025
AL,DeKalb,01049,72569,10.1,10.8,2025
AL,Elmore,01051,90441,10.0,7.5,2025
AL,Escambia,01053,36558,10.9,11.4,2025
AL,Etowah,01055,103241,10.3,9.8,2025
AL,Fayette,01057,15967,10.3,10.9,2025
AL,Franklin,01059,31802,10.0,10.7,2025
AL,Geneva,01061,26988,10.4,11.0,2025
AL,Greene,01063,7341,12.0,13.8,2025
AL,Hale,01065,14888,11.3,10.3,2025
AL,Henry,01067,17899,10.3,9.7,2025
AL,Houston,01069,108462,10.4,8.9,2025
AL,Jackson,01071,53467,10.3,10.9,2025
AL,Jefferson,01073,662895,9.9,6.9,2025
AL,Lamar,01075,13661,10.3,11.1,2025
AL,Lauderdale,01077,96814,9.9,8.2,2025
AL,Lawrence,01079,33502,10.5,9.8,2025
AL,Lee,01081,183215,10.1,6.4,2025
AL,Limestone,01083,114654,9.7,6.9,2025
AL,Lowndes,01085,9717,11.7,12.3,2025
AL,Macon,01087,18370,11.7,8.8,2025
AL,Madison,01089,412600,9.4,5.8,2025
AL,Marengo,01091,18684,11.0,9.9,2025
AL,Marion,01093,29244,10.2,10.8,2025
AL,Marshall,01095,100756,9.8,9.0,2025
